DATETIME,CPUCoreTemp_1,CPUCoreTemp_2,CPUCoreTemp_3,CPUCoreTemp_4,CPUCoreTemp_Package,CPUPackagePower,CPUCorePower,CPUCoreClock_1,CPUCoreClock_2,CPUCoreClock_3,CPUCoreClock_4
STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
2020.12.01 00:18:47 715,42,43,44,42,45,3.496,1.719,2689.205,2689.205,2689.205,2689.205
2020.12.01 00:18:48 721,42,43,43,42,44,2.826,1.057,796.801,796.801,796.801,796.801
2020.12.01 00:18:49 729,42,43,43,42,44,3.351,1.576,796.801,796.801,796.801,796.801
2020.12.01 00:18:50 737,42,43,43,42,44,3.184,1.402,796.801,796.801,796.801,796.801
2020.12.01 00:18:51 745,43,45,44,43,45,3.069,1.286,2589.605,2589.605,2589.605,2589.605
2020.12.01 00:18:52 753,42,42,43,42,44,2.803,1.024,796.801,796.801,796.801,796.801
2020.12.01 00:18:53 761,42,43,43,42,44,3.237,1.46,796.801,796.801,796.801,796.801
2020.12.01 00:18:54 768,42,44,44,42,44,3.288,1.507,796.801,796.801,796.801,796.801
2020.12.01 00:18:55 776,42,43,43,42,43,2.959,1.193,796.801,796.801,796.801,796.801
2020.12.01 00:18:56 783,42,43,44,42,44,3.322,1.556,2788.805,2689.205,2689.205,2788.805
2020.12.01 00:18:57 794,42,43,44,42,44,3.069,1.3,796.801,796.801,796.801,796.801
2020.12.01 00:18:58 802,42,43,44,42,44,2.803,1.042,796.801,796.801,796.801,796.801
2020.12.01 00:18:59 810,43,44,44,42,44,3.295,1.518,2191.204,2191.204,2191.204,1892.403
2020.12.01 00:19:00 818,42,46,44,42,46,3.398,1.621,2689.205,2589.604,2689.205,2689.205
2020.12.01 00:19:01 825,42,44,44,42,45,2.81,1.05,2689.204,2689.204,2689.204,2589.604
2020.12.01 00:19:02 833,42,43,43,42,44,3.145,1.378,796.801,796.801,796.801,796.801
2020.12.01 00:19:03 842,42,43,43,42,44,3.395,1.619,796.801,796.801,796.801,796.801
2020.12.01 00:19:04 849,42,44,44,42,45,3.163,1.406,796.801,796.801,796.801,796.801
2020.12.01 00:19:05 856,42,43,43,42,44,2.915,1.152,1792.803,1792.803,1494.003,1494.003
2020.12.01 00:19:06 865,42,43,44,42,44,3.197,1.428,1792.803,1792.803,1792.803,1494.003
2020.12.01 00:19:07 872,42,43,44,42,44,2.942,1.181,796.801,796.801,796.801,796.801
2020.12.01 00:19:08 880,42,43,44,42,44,3.093,1.33,1195.202,1195.202,1195.202,896.402
2020.12.01 00:19:09 888,42,43,44,42,44,3.382,1.611,796.801,796.801,796.801,796.801
2020.12.01 00:19:10 897,44,45,45,42,46,3.168,1.406,2589.604,2689.205,2689.205,2689.205
2020.12.01 00:19:11 903,42,43,43,42,44,2.786,1.017,796.801,796.801,796.801,796.801
2020.12.01 00:19:12 913,42,43,43,42,43,3.164,1.393,796.801,796.801,796.801,796.801
2020.12.01 00:19:13 921,49,45,45,45,49,3.162,1.4,2490.004,2589.604,2689.205,2689.205
2020.12.01 00:19:14 929,42,43,43,42,44,3.106,1.334,796.801,796.801,796.801,796.801
2020.12.01 00:19:15 937,42,43,43,42,44,3.175,1.402,796.801,796.801,796.801,796.801
2020.12.01 00:19:16 944,42,43,43,42,44,3.169,1.404,796.801,796.801,796.801,796.801
2020.12.01 00:19:17 952,42,43,43,42,44,2.82,1.064,796.801,796.801,796.801,796.801
2020.12.01 00:19:18 961,42,43,43,42,44,3.212,1.439,2689.205,2689.205,2390.404,2390.404
2020.12.01 00:19:19 967,42,43,43,42,44,3.081,1.309,796.801,796.801,796.801,796.801
2020.12.01 00:19:20 975,41,43,43,42,44,3.111,1.347,796.801,796.801,796.801,796.801
2020.12.01 00:19:21 984,42,43,43,42,43,3.111,1.343,796.801,796.801,796.801,796.801
2020.12.01 00:19:22 993,42,43,43,42,43,3.014,1.243,796.801,796.801,796.801,796.801
2020.12.01 00:19:24 002,42,43,44,42,44,3.107,1.337,1593.603,1294.802,1294.802,1294.802
2020.12.01 00:19:25 010,42,43,44,42,44,3.001,1.227,1494.003,1494.003,1195.202,1195.202
2020.12.01 00:19:26 019,48,44,44,43,48,3.12,1.333,2689.204,2689.204,2689.204,2689.204
2020.12.01 00:19:27 026,42,43,43,42,44,3.111,1.335,796.801,796.801,796.801,796.801
2020.12.01 00:19:28 036,42,43,43,42,44,3.004,1.229,796.801,796.801,796.801,796.801
2020.12.01 00:19:29 045,42,43,43,42,44,3.21,1.414,796.801,796.801,796.801,796.801
2020.12.01 00:19:30 054,44,45,44,43,45,3.309,1.528,2689.205,2689.205,2689.205,2689.205
2020.12.01 00:19:31 063,44,43,43,42,44,2.904,1.136,1593.602,1992.003,1992.003,1992.003
